mi_rel_type,const_name,module,app_class
2004,OrderConst,Econ,OrderApp
2005,OrderLineConst,Econ,OrderLineApp
2006,PaymentDetailsConst,Econ,PaymentDetailsApp
2007,ProductConst,Econ,ProductApp
2008,ProductGroupConst,Econ,ProductGroupApp
2009,ProductGroupRelConst,Econ,ProductGroupRelApp
2010,ProductSettingsConst,Econ,ProductSettingsApp
2011,TemplateProductConst,Econ,TemplateProductApp
2012,TemplateSettingsConst,Econ,TemplateSettingsApp
2013,VerificationConst,Econ,VerificationApp
2014,InvoiceIteratorConst,Econ,InvoiceIteratorApp
2015,PayexDetailsConst,Econ,PayexDetailsApp
2016,PaymentsConst,Econ,PaymentsApp
2017,MismatchedInvoiceConst,Econ,MismatchedInvoiceApp
2018,StripeDetailsConst,Econ,StripeDetailsApp
2025,InvoiceReminderConst,Econ,InvoiceReminderApp
2026,PaymentDetailsCooldownsConst,Econ,PaymentDetailsCooldownsApp
2027,InvoiceWikiRelConst,Econ,InvoiceWikiRelApp
2030,OrderRenewalSettingConst,Econ,OrderRenewalSettingsApp
2032,PaymentServiceEventConst,Econ,PaymentServiceEventApp
2033,PaymentServiceProviderConst,Econ,PaymentServiceProviderApp
2034,PaymentServiceProviderConfigConst,Econ,PaymentServiceProviderConfigApp
2035,OrderRelConst,Econ,OrderRelApp
2036,ProductPackageConst,Econ,ProductPackageApp
2037,ProductPackageRelConst,Econ,ProductPackageRelApp
2050,DiscountCampaignConst,Econ,DiscountCampaignApp
2051,DiscountCampaignLineConst,Econ,DiscountCampaignLineApp
2052,OrderActivity,Econ,OrderActivityApp
2101,WikiConst,User,WikiApp
2102,WikiFoldersConst,User,WikiFoldersApp
2301,MittanbudBufferConst,SmallBrain,MittanbudBufferApp
2302,TenderIndustryExtendConst,SmallBrain,TenderIndustryExtendApp
2303,SubscriptionCalculatorScoringConst,SmallBrain,SubscriptionScoringApp
2401,FantasyActivityLogConst,User,FantasyActivityLogApp
2402,FantasyNewsConst,User,FantasyNewsApp
2403,FantasyRoundsConst,User,FantasyRoundsApp
2404,FantasySeasonsConst,User,FantasySeasonsApp
2405,FantasySellersConst,User,FantasySellersApp
2406,FantasySellersRoundConst,User,FantasySellersRoundApp
2407,FantasyTeamConst,User,FantasyTeamApp
2408,FantasyTeamRoundConst,User,FantasyTeamRoundApp
2409,FantasyTeamSellerConst,User,FantasyTeamSellerApp
2501,StorageUserConst,User,StorageUsersApp
2502,StoragePhoneConst,User,StoragePhonesApp
2503,StorageEmailConst,User,StorageEmailsApp
2504,StorageSourceConst,User,StorageSourceApp
2511,StorageUserRelConst,User,StorageUserRelApp
2512,StoragePhoneRelConst,User,StoragePhoneRelApp
2513,StorageEmailRelConst,User,StorageEmailRelApp
2514,StorageSourceRelConst,User,StorageSourceRelApp
2601,BudgetLogConst,User,BudgetLogApp
2602,BudgetOrderRelConst,User,BudgetOrderRelApp
2603,BudgetsConst,User,BudgetsApp
2604,BudgetsPeriodConst,User,BudgetsPeriodApp
2701,NativeBufferCompaniesConst,User,NativeBufferCompaniesApp
2801,ReviewConst,User,ReviewApp
2802,ReviewOwnerConst,User,ReviewRelApp
2803,ReviewReceiverConst,User,ReviewRelApp
2804,ReviewMaJobConst,,
2805,ReviewMegloBrokerConst,,
2806,ReviewWorktypeRelConst,,
2807,ReviewEmgOldId,,
2809,ReviewPostCode,,
2810,ReviewMetaIndexConst,User,ReviewMetaIndexApp
2811,ReviewAnswerConst,User,ReviewAnswerApp
2812,ReviewMoveConst,User,ReviewMoveApp
2820,ReviewIPCheckConst,User,ReviewIPCheckApp
2821,ReviewAutoApprovalResultConst,User,ReviewAutoApprovalResultApp
2901,AdvertisingPublicUserFormConst,User,AdvertisingPublicUserFormApp
2902,AdvertisingPublicDraftConst,User,AdvertisingPublicDraftApp
2903,AdvertisingPublicOnboardingConst,User,AdvertisingOnboardingApp
2910,CampaignDoctorAppConst,User,CampaignDoctorApp
2911,CampaignDoctorSnapShotAppConst,User,CampaignDoctorSnapShotApp
2912,AdvertisingOrderLogAppConst,User,AdvertisingOrderLogApp
3001,FormDocumentConst,Forms,FormDocumentApp
3002,FormFieldConst,Forms,FormFieldApp
3003,FormOptionConst,Forms,FormOptionApp
3004,FormHookConst,Forms,FormHookApp
3101,UserReport,,
3102,CompanyReport,,
3201,ChatAccessConst,User,ChatAccessApp
3202,ChatMessageConst,User,ChatMessageApp
3203,ChatMessageReadConst,User,ChatMessageReadApp
3204,ChatThreadConst,User,ChatThreadApp
4001,AddressesConst,Geo,AddressesApp
4002,CountiesNoConst,Geo,CountiesNoApp
4003,CountriesConst,Geo,CountriesApp
4004,MunicipalitiesNoConst,Geo,MunicipalitiesNoApp
4005,PostCodesNoConst,Geo,PostCodesNoApp
4006,PostCodesConst,Geo,PostCodesApp
4007,AdministrativeDivisionsConst,Geo,AdministrativeDivisionsApp
4008,LocationLookupStoreConst,Geo,LocationLookupStoreApp
4101,TicketConst,User,TicketApp
4102,TicketEntryConst,User,TicketEntryApp
4103,TicketNoteConst,User,TicketNoteApp
4104,TicketRelConst,User,TicketRelApp
4201,ReleaseConst,User,ReleaseApp
4202,EntriesConst,User,EntriesApp
4203,ReleaseUnitConst,User,ReleaseUnitApp
4204,ReleaseSubunitConst,User,ReleaseSubunitApp
4205,ReleaseEntrySubunitRelConst,User,ReleaseEntrySubunitRelApp
4301,EggsConst,User,EggsApp
4302,GameScoreConst,User,GameScoreApp
4401,PrivacyUserRequestsConst,User,PrivacyUserRequestsApp
4402,PrivacyUserRequestsRelConst,User,PrivacyUserRequestsRelApp
4403,PrivacyDatastoreRequestsConst,User,PrivacyDatastoreRequestsApp
4404,PrivacyServicesConst,User,PrivacyServicesApp
4405,PrivacyRequestConst,User,PrivacyRequestApp
4406,PrivacyRequestRelConst,User,PrivacyRequestRelApp
4407,PrivacyTakeoutRelConst,User,PrivacyTakeoutRelApp
4408,PrivacyTempInitialRequestConst,User,PrivacyTempInitialRequestApp
4501,AltinnEvidenceAuthorizationConst,User,AltinnEvidenceAuthorizationApp
4502,AltinnEvidenceCodeConst,User,AltinnEvidenceCodeApp
4503,AltinnEvidenceValueConst,User,AltinnEvidenceValueApp
4601,VerifyConst,User,VerifyApp
4602,VerifyCodeConst,User,VerifyCodeApp
4701,BoostAreaConst,User,BoostAreaApp
4702,BoostBookingConst,User,BoostBookingApp
4703,BoostIndustryConst,User,BoostIndustryApp
4704,BoostProductConst,User,BoostProductApp
4705,BoostWordConst,User,BoostWordApp
5001,ListCompanyRelConst,List,ListCompanyRelApp
5002,ListGroupRelConst,List,ListGroupRelApp
5003,ListMembersConst,List,ListMembersApp
5004,ListsConst,List,ListsApp
5005,ListSettingsConst,List,ListSettingsApp
5006,ListSettingsRelConst,List,ListSettingsRelApp
5007,ListStatusesConst,List,ListStatusesApp
5008,ListStatusRelConst,List,ListStatusRelApp
5009,RulesConst,List,RulesApp
5010,ListGroupConst,List,ListGroupApp
5011,ListAutomationConst,List,ListAutomationApp
5012,ListAutomationEventsConst,List,ListAutomationEventsApp
5013,MyMainListSavedStateConst,List,MyMainListSavedStateApp
6001,SettingsConst,SmallBrain,SettingsApp
6002,LogsConst,SmallBrain,LogsApp
7001,DashboardsConst,SmallBrain,DashboardsApp
7002,DocumentationClassConst,System,DocumentationClassApp
7005,SecurityRolesConst,System,SecurityRolesApp
7006,SecurityViewsConst,System,SecurityViewsApp
7007,SystemUsersConst,System,SystemUsersApp
7008,UnitsConst,System,UnitsApp
7009,UserSecProfileRelConst,System,UserSecProfileRelApp
7010,WidgetsConst,SmallBrain,WidgetsApp
7011,SystemMasterLookupConst,SmallBrain,SystemMasterLookupApp
7012,ApiChannelsConst,System,ApiChannelsApp
7013,ApiChannelStackConst,System,ApiChannelStackApp
7014,ApiSubscriptionsConst,System,ApiSubscriptionsApp
7015,ApiTokenConst,,
7016,TokensConst,System,TokensApp
7017,UnitRelConst,System,UnitRelApp
7018,DynamicTabtoolConst,System,DynamicTabtoolApp
7019,DynamicTabtoolRelConst,System,DynamicTabtoolRelApp
7020,ApiSubscribersConst,System,ApiSubscribersApp
7021,SystemVariableConst,System,SystemVariableApp
7022,SystemPhonesConst,System,SystemPhonesApp
7023,SystemPhoneRelConst,System,SystemPhoneRelApp
7024,ApiReceivingStackConst,System,ApiReceivingStackApp
7050,SecurityLayerConst,System,SecurityLayerApp
7051,SecurityLayerRoleConst,System,SecurityLayerRoleApp
7052,SecurityLayerUserRelConst,System,SecurityLayerUserRelApp
7053,SecurityLayerRoleTemplateConst,System,SecurityLayerRoleTemplateApp
7101,ClassificationConst,Business,ClassificationApp
7102,ClassificationGroupConst,Business,ClassificationGroupApp
7103,WidgetBoardTabContentsConst,SmallBrain,WidgetBoardTabContentsApp
7104,SnoXRelationConst,Business,SnoXRelationApp
7105,TextTemplateConst,SmallBrain,TextTemplateApp
7106,WidgetsContextConst,SmallBrain,WidgetsContextApp
7107,MelvisReportRequestsConst,SmallBrain,MelvisReportRequestsApp
7108,MelvisUserDeviceConst,SmallBrain,MelvisUserDeviceApp
7109,TextTemplateContentConst,SmallBrain,TextTemplateContentApp
7110,TemplateUserUsageHistoryConst,SmallBrain,TemplateUserUsageHistoryApp
7111,UserFavouritesConst,SmallBrain,UserFavouritesApp
7112,UserTourProgressConst,SmallBrain,UserTourProgressApp
8001,TagsAccessConst,Tag,TagsAccessApp
8002,TagsConst,Tag,TagsApp
8003,TagsRelConst,Tag,TagsRelApp
8004,TagsPrivateAccessConst,Tag,TagsPrivateAccessApp
8005,TagGroupsConst,Tag,TagGroupsApp
8101,TenderInsurance,,
9001,TasksConst,Task,TasksApp
9002,TaskUserRelConst,Task,TaskUserRelApp
9003,TasksRelConst,Task,TasksRelApp
9501,ProjectConst,SmallBrain,PPlusProjectApp
10000,MasterIdConst,EXCEPTIONS,MasterID
10002,SystemConst,EXCEPTIONS,SYSTEM
10003,SystemUserMasterIdConst,EXCEPTIONS,SystemUserMasterIDPK
10004,MittanbudConst,,
10005,ArvatoConst,,
10006,PayExConst,,
10007,CronConst,,
11001,CompanyEmployeeConst,User,CompanyEmployeeApp
11002,AnswerTemplatesConst,User,AnswerTemplatesApp
11003,AutoDataConst,User,AutoDataApp
11004,CompanySettingsConst,User,CompanySettingsApp
11005,CompanySettingsRelConst,User,CompanySettingsRelApp
11006,ProfileGalleriesConst,User,ProfileGalleriesApp
11007,ProfileGalleryPicturesConst,User,ProfileGalleryPicturesApp
11008,CompanyContactSettingsConst,User,CompanyContactSettingsApp
11009,CompanyContactSettingsRelConst,User,CompanyContactSettingsRelApp
11010,CompanyProfileMessagesConst,User,CompanyProfileMessagesApp
11011,CompanyBoligmappaTokensConst,User,CompanyBoligmappaTokensApp
11012,WatchlistsConst,User,WatchlistsApp
11013,WatchlistAreaRelConst,User,WatchlistAreaRelApp
11014,WatchlistWorktypeRelConst,User,WatchlistWorktypeRelApp
11015,WatchlistWorktypeSubsetRelConst,User,WatchlistWorktypeSubsetRelApp
11016,WatchlistNotificationSettingsConst,User,WatchlistNotificationSettingsApp
11017,WatchlistTendersConst,User,WatchlistTendersApp
11018,CompanyAvailabilityConst,User,CompanyAvailabilityApp
11019,CompanyCreditsConst,User,CompanyCreditsApp
11020,LoyaltyCompanyStateConst,User,LoyaltyCompanyStateApp
11021,LoyaltyClaimConst,User,LoyaltyClaimApp
11022,LoyaltyTierConst,User,LoyaltyTierApp
11023,LoyaltyAdjustmentConst,User,LoyaltyAdjustmentApp
11024,LoyaltyTierRequirementConst,User,LoyaltyTierRequirementApp
11025,LoyaltyTierRequirementGroupConst,User,LoyaltyTierRequirementGroupApp
11026,LoyaltyTierBenefitConst,User,LoyaltyTierBenefitApp
12001,LinksConst,User,LinksApp
12101,AdSwitchAdConst,User,AdSwitchAdsApp
12102,AdSwitchProductConst,User,AdSwitchProductsApp
12103,AdSwitchProductRelationConst,User,AdSwitchProductRelationApp
12104,AdSwitchHtmlTemplatesConst,User,AdSwitchHtmlTemplatesApp
13001,FunnelPipelineConst,User,PipelineApp
13002,FunnelPipelineListRelConst,User,PipelineListRelApp
13003,FunnelStageConst,User,StageApp
13004,FunnelStageOwnerRelConst,User,StageOwnerRelApp
13005,FunnelStageTaskRelConst,User,StageTaskRelApp
13006,FunnelTaskTypeConst,User,TaskTypeApp
13007,FunnelCardConst,User,CardApp
13008,FunnelCardOwnerRelConst,User,CardOwnerRelApp
14001,PPlusProjectConst,SmallBrain,PPlusProjectApp
14002,PPlusProjectInfoConst,SmallBrain,PPlusProjectInfoApp
14003,PPlusProjectWorktypeRelationConst,SmallBrain,ProjectWorktypeRelationApp
14004,PPlusProjectBusinessRelationConst,SmallBrain,PPlusProjectBusinessRelationApp
14005,PPlusProjectBusinessConst,SmallBrain,ProjectBusinessApp
14006,PPlusBusinessApplicationInfoConst,SmallBrain,BusinessApplicationInfoApp
14007,PPlusBusinessApplicationWorktypeRelationConst,SmallBrain,BusinessApplicationWorktypeRelationApp
14008,PPlusBusinessSettingsConst,SmallBrain,PPlusBusinessSettingsApp
14009,PPlusBusinessInfoConst,SmallBrain,PPlusBusinessInfoApp
14010,PPlusBusinessWorktypeRelationConst,SmallBrain,PPlusBusinessWorktypeRelationApp
14011,PPlusBusinessMunicipalityRelationConst,SmallBrain,BusinessMunicipalityRelationApp
14012,PPlusBusinessDistrictRelationConst,SmallBrain,BusinessDistrictRelationApp
15001,SecureIdSessionConst,User,SecureIdSessionApp
15002,SecureIdDocumentConst,User,SecureIdDocumentApp
15003,SecureIdNotificationConst,User,SecureIdNotificationApp
15004,SecureIdSigningOrderConst,User,SecureIdSigningOrderApp
15005,SecureIdTaskConst,User,SecureIdTaskApp
15006,SecureIdSessionCompanyRelConst,User,SecureIdSessionCompanyRelApp
16001,CanteenDishesConst,User,CanteenDishesApp
16002,RatingsConst,User,RatingsApp
16003,GameTaskConst,User,GameTaskApp
16004,GameTaskRelConst,User,GameTaskRelApp
16005,GameConst,User,GameApp
16006,GameTaskUserRelConst,User,GameTaskUserRelApp
17001,NaughtyIdentifierConst,User,NaughtyIdentifierApp
17002,NaughtyIncidentConst,User,NaughtyIncidentApp
17003,NaughtyIncidentRelationConst,User,NaughtyIncidentRelationApp
17004,NaughtyIdentifierIncidentRelationConst,User,NaughtyIdentifierIncidentRelationApp
18001,OffersConst,User,OffersApp
18002,OfferOptionsConst,User,OfferOptionsApp
18003,OfferOptionLinesConst,User,OfferOptionLinesApp
18004,OfferRecipientsConst,User,OfferRecipientsApp
18005,OfferRecipientNotificationsConst,User,OfferRecipientNotificationsApp
18007,OfferOptionTemplatesConst,User,OfferOptionTemplateApp
18008,OfferOptionTemplateLinesConst,User,OfferOptionTemplateLineApp
19001,ProfileAttributeKeysConst,User,ProfileAttributeKeysApp
19002,ProfileAttributeValuesConst,User,ProfileAttributeValuesApp
20001,InsuranceConst,User,InsuranceApp
21001,VippsDetailsConst,User,VippsDetailsApp
22001,ScoringSummaryConst,User,ScoreSummaryApp
22002,ScoringLedgerConst,User,ScoreLedgerApp
22003,ScoringRulesConst,User,ScoreRulesApp
22004,ScoringContextConst,User,ScoreContextApp
22005,ScoringContextUserConst,User,ScoreContextUserApp
